,productAsin,country,date,isVerified,ratingScore,reviewTitle,variantAsin,Color,Size
2854,B09G9D8KRQ,India,09-08-2022,True,1,Tampered brand sealed,B09G99CW2N,,
2855,B09G9D8KRQ,India,20-03-2023,True,1,Damaged product,B09G99CW2N,,
2856,B09G9D8KRQ,India,21-08-2022,True,1,pls dont waste your money on buying this product..,B09G99CW2N,,
2857,B09G9D8KRQ,India,15-03-2023,True,1,There was a scratch on phone screen,B09G99CW2N,,
2858,B09G9D8KRQ,India,05-08-2022,True,1,Phone is heating up,B09G99CW2N,,
2859,B09G9D8KRQ,India,01-02-2023,True,1,"Unable to lift the calls, touch is not working",B09G99CW2N,,
2860,B09G9D8KRQ,India,27-12-2022,True,1,Not Worth buying this so called Apple iPhone,B09G99CW2N,,
2861,B09G9D8KRQ,India,26-08-2022,True,1,"Performs, battery and UI are bad",B09G99CW2N,,
2862,B09G9D8KRQ,India,24-08-2022,True,1,Bad experience,B09G99CW2N,,
2863,B09G9D8KRQ,India,11-04-2024,True,1,USB Data Cable,B09G9BL5CP,Blue,128 GB
2864,B09G9D8KRQ,India,18-05-2024,True,1,Complaint in 10 days from purchase,B09G9BL5CP,Blue,128 GB
2865,B09G9D8KRQ,India,24-11-2023,True,1,Issue with charging port,B09G9BL5CP,Blue,128 GB
2866,B09G9D8KRQ,India,03-10-2022,True,3,It seems that I have invested money on very wrong device.,B09G9BL5CP,Blue,128 GB
2867,B09G9D8KRQ,India,13-10-2023,True,2,Boxes seal,B09G9BL5CP,Blue,128 GB
2868,B09G9D8KRQ,India,11-02-2023,True,3,Value for money,B09G9BL5CP,Blue,128 GB
2869,B09G9D8KRQ,India,01-02-2022,True,1,Useless brick,B09G9BL5CP,Blue,128 GB
2870,B09G9D8KRQ,India,27-03-2024,True,1,Too much heating battery health decrease very fast camera is also not good,B09G9BL5CP,Blue,128 GB
2871,B09G9D8KRQ,India,30-03-2024,True,1,Mobile heat and battery 93% just in 1 month,B09G9BL5CP,Blue,128 GB
2872,B09G9D8KRQ,India,08-10-2023,True,1,Bad sale,B09G9BL5CP,Blue,128 GB
2873,B09G9D8KRQ,India,26-02-2024,True,5,Its Iphone,B09G99CW2N,,
2874,B09G9D8KRQ,India,15-10-2023,True,4,Good,B09G99CW2N,,
2875,B09G9D8KRQ,India,28-04-2022,True,4,iPhone 13 strains  your eye for websites which require scrolling.,B09G99CW2N,,
2876,B09G9D8KRQ,India,23-10-2023,True,4,Very nice product,B09G99CW2N,,
2877,B09G9D8KRQ,India,22-12-2023,True,5,It feels great to fulfill some desires,B09G99CW2N,,
2878,B09G9D8KRQ,India,24-01-2024,True,5,Awesome Apple,B09G99CW2N,,
2879,B09G9D8KRQ,India,08-10-2023,True,5,Perfect product,B09G99CW2N,,
2880,B09G9D8KRQ,India,01-03-2024,True,5,Nice work,B09G99CW2N,,
2881,B09G9D8KRQ,India,19-07-2023,True,5,iPhone 13 (Product Red) Review,B09G99CW2N,,
2882,B09G9D8KRQ,India,14-05-2022,True,2,Mic is not working,B09G99CW2N,,
2883,B09G9D8KRQ,India,22-05-2023,True,1,Touch issue faced,B09G99CW2N,,
2884,B09G9D8KRQ,India,24-12-2023,True,1,Good,B09G99CW2N,,
2885,B09G9D8KRQ,India,20-11-2023,True,1,Touch key pad is not working properly,B09G99CW2N,,
2886,B09G9D8KRQ,India,25-11-2023,True,1,Iwhad replase the phone,B09G99CW2N,,
2887,B09G9D8KRQ,India,05-01-2023,True,1,the Iphone camera is not in good Quality. disappointed.,B09G99CW2N,,
2888,B09G9D8KRQ,India,13-06-2023,True,1,Reduces productivity and ease of access,B09G99CW2N,,
2889,B09G9D8KRQ,India,10-11-2023,True,1,Bad impression,B09G99CW2N,,
2890,B09G9D8KRQ,India,25-07-2022,True,1,Bad experience got new phone with defected camera lens with tampers,B09G99CW2N,,
2891,B09G9D8KRQ,India,06-02-2022,True,1,2 Star not worth,B09G99CW2N,,
2892,B09G9D8KRQ,India,17-09-2024,True,1,Performance not like Apple,B09G9BL5CP,Blue,128 GB
2893,B09G9D8KRQ,India,26-12-2023,True,3,Selfie camera is not good than Android 10k smartphone selfie is better from iphone selfie,B09G9BL5CP,Blue,128 GB
2894,B09G9D8KRQ,India,22-02-2024,True,3,Iphone 15 plus is a better choice.,B09G9BL5CP,Blue,128 GB
2895,B09G9D8KRQ,India,06-08-2024,True,1,BAD PRODUCT,B09G9BL5CP,Blue,128 GB
2896,B09G9D8KRQ,India,12-02-2024,True,3,Only camera phone,B09G9BL5CP,Blue,128 GB
2897,B09G9D8KRQ,India,01-09-2024,True,1,Bad phone for Battery,B09G9BL5CP,Blue,128 GB
2898,B09G9D8KRQ,India,17-04-2024,True,2,Quality of charging cable not good.,B09G9BL5CP,Blue,128 GB
2899,B09G9D8KRQ,India,26-10-2023,True,3,Open box delivery,B09G9BL5CP,Blue,128 GB
2900,B09G9D8KRQ,India,20-01-2023,True,3,battery draining issue in my newly device,B09G9BL5CP,Blue,128 GB
2901,B09G9D8KRQ,India,23-08-2024,True,1,Network issue in new phone and screen has cracks,B09G9BL5CP,Blue,128 GB
2902,B09G9D8KRQ,India,26-01-2024,True,5,Awesome,B09G99CW2N,,
2903,B09G9D8KRQ,India,08-05-2024,True,5,Received refurbished item,B09G9BL5CP,Blue,128 GB
2904,B09G9D8KRQ,India,02-06-2024,True,5,Original,B09G9BL5CP,Blue,128 GB
2905,B09G9D8KRQ,India,17-01-2024,True,4,An all-rounder,B09G9BL5CP,Blue,128 GB
2906,B09G9D8KRQ,India,04-06-2024,True,5,Okay product,B09G9BL5CP,Blue,128 GB
2907,B09G9D8KRQ,India,11-06-2024,True,5,Best buy,B09G9BL5CP,Blue,128 GB
2908,B09G9D8KRQ,India,06-06-2024,True,5,Good,B09G9BL5CP,Blue,128 GB
2909,B09G9D8KRQ,India,30-05-2024,True,5,Very good and nice product,B09G9BL5CP,Blue,128 GB
2910,B09G9D8KRQ,India,05-01-2024,True,4,auto restart issue in iphone 13,B09G9BL5CP,Blue,128 GB
